      时间,Open,High,Low,Close,Volume,成交额.上海成交额比例,成交额.深圳成交额比例,成交额.      ,成交额.      ,成交额.      ,SIMP_LEI.VAR1  ,SIMP_LEI.EE    ,E_OUTPUT,SIMP_LEI.F_OUTPUT,SIMP_LEI.G_OUTPUT,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.C_30  ,SIMP_LEI.C_6869,试函数.沪深300红线率,试函数.      ,试函数.沪深300平均E,试函数.AVGE_INRANGE,试函数.过年线,试函数.是否过TOP,试函数.满足成交量,试函数.成交量,试函数.前高成交量,试函数.是否FINAL_COND,试函数.FLOW_TOP_TOP,试函数.BOTTOM_LINE,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.四大平均平均,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,FLOW_TOP_AE.沪深300红线率,FLOW_TOP_AE.沪深300平均E,FLOW_TOP_AE.AVGE_INRANGE,FLOW_TOP_AE.过年线,FLOW_TOP_AE.是否过TOP,FLOW_TOP_AE.满足成交量,FLOW_TOP_AE.成交量,FLOW_TOP_AE.前高成交量,FLOW_TOP_AE.是否FINAL_COND,FLOW_TOP_AE.FLOW_TOP_TOP,FLOW_TOP_AE.BOTTOM_LINE,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,四大平均E.创业300平均E,四大平均E.中证500平均E,四大平均E.上证50平均E,四大平均E.沪深300平均E,四大平均E.四大平均平均,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2004/03/09,1057.36,1075.22,1056.88,1061.16,6918021,64.22,35.78,60,40,50,94.04,0.47,87.83,14.33,6.21,80,68.69,30,10,0,45,70,1160.57,1094.06,5.93,0,51.19,           ,           ,0,           ,6918021,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,5.93,51.19,           ,           ,0,           ,6918021,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,51.9,25.41,51.19,           ,0,0,0,30,40,50,70,80,6918021,4981630,6038519.5
 2004/03/10,1062.98,1091.35,1062.98,1091.1,6113973,65.21,34.79,60,40,50,59.21,9.05,73.52,25.92,-14.31,80,68.69,30,10,0,45,70,1165.91,1099.4,0.73,0,48.14,           ,           ,0,           ,6113973,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.73,48.14,           ,           ,0,           ,6113973,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,50.11,23.55,48.14,           ,0,0,0,30,40,50,70,80,6113973,5161460.5,5843511.5
 2004/03/11,1092.74,1102.22,1086.55,1095.56,5761791,60.29,39.71,60,40,50,54.02,19.36,63.77,36.25,-9.75,80,68.69,30,10,0,45,70,1153.61,1087.1,0,0,44.64,           ,           ,0,           ,5761791,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,44.64,           ,           ,0,           ,5761791,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,47.03,21.85,44.64,           ,0,0,0,30,40,50,70,80,5761791,5351732,5609601.5
 2004/03/12,1096.35,1102.13,1088.44,1099.08,5236097,62.83,37.17,60,40,50,49.92,28.77,56.85,46.04,-6.92,80,68.69,30,10,0,45,70,1145.23,1078.72,0,0,42.63,           ,           ,0,           ,5236097,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,42.63,           ,           ,0,           ,5236097,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,46.55,20.53,42.63,           ,0,0,0,30,40,50,70,80,5236097,5725946,5403904.5
 2004/03/15,1100.4,1134.28,1100.15,1131.68,10252069,63.4,36.6,60,40,50,12,47.31,34.42,54.57,-22.43,80,68.69,30,10,0,45,70,1139.28,1072.77,0,0,39.11,           ,           ,0,           ,10252069,           ,           ,           ,40,0,0,0,0,0,1,1,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,39.11,           ,           ,0,           ,10252069,           ,           ,           ,40,0,0,0,0,1,1,0,0,0,0,68.69,           ,42.66,16.93,39.11,           ,0,0,0,30,40,50,70,80,10252069,6856390,5784939.5
 2004/03/16,1136.27,1139.49,1127.85,1135.57,7329359,63.53,36.47,60,40,50,7.47,64.88,20.95,61.12,-13.47,80,68.69,30,10,0,45,70,1120,1053.5,0,0,36.52,           ,           ,0,           ,7329359,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,36.52,           ,           ,0,           ,7329359,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,39.78,15.48,36.52,           ,0,0,0,30,40,50,70,80,7329359,6938658,5960144
 2004/03/17,1136.45,1139.28,1124.6,1135.17,5489802,60.37,39.63,60,40,50,7.93,77.67,14.44,66.26,-6.51,80,68.69,30,10,0,45,70,1108.43,1041.92,0,0,35.7,           ,           ,0,           ,5489802,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,35.7,           ,           ,0,           ,5489802,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,38.48,14.73,35.7,           ,0,0,0,30,40,50,70,80,5489802,6813823.5,5987642
 2004/03/18,1134.93,1141.81,1110.32,1111.85,6869805,61.21,38.79,60,40,50,35.07,77.72,24.75,64.42,10.31,80,68.69,30,10,0,45,70,1102.83,1036.32,0,0,32.41,           ,           ,0,           ,6869805,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,32.41,           ,           ,0,           ,6869805,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,38.44,           ,32.41,           ,0,0,0,30,40,50,70,80,6869805,7035426.5,6193579.5
 2004/03/19,1110.44,1130.26,1107.1,1129.78,5885994,61.02,38.98,60,40,50,14.21,80.99,19.48,67.1,-5.27,80,68.69,30,10,0,45,70,1111.69,1045.18,0,0,37.72,           ,           ,0,           ,5885994,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,37.72,           ,           ,0,           ,5885994,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,39.74,13.42,37.72,           ,0,0,0,30,40,50,70,80,5885994,7165406,6445676
 2004/03/22,1130.87,1141.81,1126.19,1134.79,5093686,59.51,40.49,60,40,50,8.38,86.04,13.93,70.3,-5.55,80,68.69,30,10,0,45,70,1107.16,1040.66,0,0,37.96,           ,           ,0,           ,5093686,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,37.96,           ,           ,0,           ,5093686,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,39.1,14.69,37.96,           ,0,0,0,30,40,50,70,80,5093686,6133729,6495059.5
 2004/03/23,1133.99,1134.13,1115.67,1121.33,5587535,63,37,60,40,50,24.04,85.46,18.98,67.23,5.05,80,68.69,30,10,0,45,70,1102.39,1035.88,0,0,39.79,           ,           ,0,           ,5587535,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,39.79,           ,           ,0,           ,5587535,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,40.02,15.76,39.79,           ,0,0,0,30,40,50,70,80,5587535,5785364.5,6362011
