      时间,Open,High,Low,Close,Volume,成交额.上海成交额比例,成交额.深圳成交额比例,成交额.      ,成交额.      ,成交额.      ,SIMP_LEI.VAR1  ,SIMP_LEI.EE    ,E_OUTPUT,SIMP_LEI.F_OUTPUT,SIMP_LEI.G_OUTPUT,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.      ,SIMP_LEI.C_30  ,SIMP_LEI.C_6869,试函数.沪深300红线率,试函数.      ,试函数.沪深300平均E,试函数.AVGE_INRANGE,试函数.过年线,试函数.是否过TOP,试函数.满足成交量,试函数.成交量,试函数.前高成交量,试函数.是否FINAL_COND,试函数.FLOW_TOP_TOP,试函数.BOTTOM_LINE,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.四大平均平均,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,试函数.      ,FLOW_TOP_AE.沪深300红线率,FLOW_TOP_AE.沪深300平均E,FLOW_TOP_AE.AVGE_INRANGE,FLOW_TOP_AE.过年线,FLOW_TOP_AE.是否过TOP,FLOW_TOP_AE.满足成交量,FLOW_TOP_AE.成交量,FLOW_TOP_AE.前高成交量,FLOW_TOP_AE.是否FINAL_COND,FLOW_TOP_AE.FLOW_TOP_TOP,FLOW_TOP_AE.BOTTOM_LINE,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,FLOW_TOP_AE.      ,四大平均E.创业300平均E,四大平均E.中证500平均E,四大平均E.上证50平均E,四大平均E.沪深300平均E,四大平均E.四大平均平均,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,四大平均E.      ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2
 2004/01/16,1076.64,1087.82,1067.85,1083.65,7174167,66.15,33.85,60,40,50,30.83,33.04,30.83,59.82,0,80,68.69,30,10,0,45,70,1085.81,985.39,0.74,0,31.62,           ,           ,0,           ,7174167,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.74,31.62,           ,           ,0,           ,7174167,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,35.22,10.08,31.62,           ,0,0,0,30,40,50,70,80,7174167,8109001,10998181
 2004/01/29,1086.66,1101.03,1084.45,1100.6,5791230,64.74,35.26,60,40,50,17.77,38.8,24.3,57.99,-6.53,80,68.69,30,10,0,45,70,1085.81,985.39,0,0,26.29,           ,           ,0,           ,5791230,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,26.29,           ,           ,0,           ,5791230,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,29.32,8.31,26.29,           ,0,0,0,30,40,50,70,80,5791230,7220458.5,10130486
 2004/01/30,1102.17,1103.7,1066.44,1067.55,7761118,58.42,41.58,60,40,50,43.24,24.96,33.77,45.18,9.47,80,68.69,30,10,0,45,70,1077.33,976.92,0,0,28.93,           ,           ,0,           ,7761118,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,28.93,           ,           ,0,           ,7761118,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,30.09,10.4,28.93,           ,0,0,0,30,40,50,70,80,7761118,6805244,9207464
 2004/02/02,1107.49,1116.31,1069.97,1091.73,15432922,65.75,34.25,60,40,50,24.61,26.13,29.19,43.39,-4.58,80,68.69,30,10,0,45,70,1089.62,989.21,0,0,25.78,           ,           ,0,           ,15432922,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,25.78,           ,           ,0,           ,15432922,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,27.22,10.18,25.78,           ,0,0,0,30,40,50,70,80,15432922,8467729,9377814
 2004/02/03,1091.86,1103.24,1084.39,1102.95,8411107,64.62,35.38,60,40,50,15.96,38.4,22.57,45.87,-6.62,80,68.69,30,10,0,45,70,1083.68,983.26,0,0,22.29,           ,           ,0,           ,8411107,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,22.29,           ,           ,0,           ,8411107,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,23.6,9.13,22.29,           ,0,0,0,30,40,50,70,80,8411107,8914109,9140882
 2004/02/04,1104.74,1130.14,1104.74,1128.44,10534990,64.11,35.89,60,40,50,1.25,63.36,11.91,54.56,-10.66,80,68.69,30,10,0,45,70,1079.14,973.71,0,0,17.75,           ,           ,0,           ,10534990,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,17.75,           ,           ,0,           ,10534990,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,19.02,7.82,17.75,           ,0,0,0,30,40,50,70,80,10534990,9586273,8847637
 2004/02/05,1135.62,1136.42,1118.17,1127.9,9774314,63.85,36.15,60,40,50,5.98,81.08,8.94,59.61,-2.97,80,68.69,30,10,0,45,70,1067.88,957.59,0,0,16.02,           ,           ,0,           ,9774314,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,16.02,           ,           ,0,           ,9774314,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,16.35,8.04,16.02,           ,0,0,0,30,40,50,70,80,9774314,10382890,8801674
 2004/02/06,1125.49,1139.09,1108.91,1122.08,11140337,63.09,36.91,60,40,50,11.71,87.48,10.33,61.41,1.39,80,68.69,30,10,0,45,70,1064.95,952.6,0,0,18.31,           ,           ,0,           ,11140337,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,18.31,           ,           ,0,           ,11140337,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,19.37,9.02,18.31,           ,0,0,0,30,40,50,70,80,11140337,11058734,8931989
 2004/02/09,1122.29,1134.91,1122.28,1134.61,8598305,62.19,37.81,60,40,50,3.09,93.74,6.71,66.29,-3.62,80,68.69,30,10,0,45,70,1066.97,954.61,0,0,16.71,           ,           ,0,           ,8598305,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,16.71,           ,           ,0,           ,8598305,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,16.94,8.46,16.71,           ,0,0,0,30,40,50,70,80,8598305,9691811,9079770
 2004/02/10,1137.72,1141.99,1116.93,1120.96,8662780,58.37,41.63,60,40,50,14.2,90.68,10.45,65.87,3.74,80,68.69,30,10,0,45,70,1063.07,948.47,0,0,17.16,           ,           ,0,           ,8662780,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,17.16,           ,           ,0,           ,8662780,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,16.87,9.3,17.16,           ,0,0,0,30,40,50,70,80,8662780,9742145,9328127
 2004/02/11,1121.81,1123.77,1100.24,1110.06,9246320,62.16,37.84,60,40,50,21.56,79.95,16.01,62.64,5.56,80,68.69,30,10,0,45,70,1068.61,954.01,0,0,18.6,           ,           ,0,           ,9246320,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,18.6,           ,           ,0,           ,9246320,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,17.66,10.44,18.6,           ,0,0,0,30,40,50,70,80,9246320,9484411,9535342
 2004/02/12,1110.83,1122.48,1092.29,1094.11,9581597,62.61,37.39,60,40,50,32.33,61.08,24.17,55.22,8.16,80,68.69,30,10,0,45,70,1076.84,962.24,0,0,19.87,           ,           ,0,           ,9581597,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,19.87,           ,           ,0,           ,9581597,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,18.64,11.99,19.87,           ,0,0,0,30,40,50,70,80,9581597,9445868,9914379
 2004/02/13,1094,1105.82,1088.86,1096.36,6904821,61.79,38.21,60,40,50,30.81,46.15,27.49,46.73,3.32,80,68.69,30,10,0,45,70,1088.93,974.33,0.74,0,22.29,           ,           ,0,           ,6904821,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0.74,22.29,           ,           ,0,           ,6904821,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,21.81,13.12,22.29,           ,0,0,0,30,40,50,70,80,6904821,8598765,9828749
 2004/02/16,1098.86,1124.35,1098.86,1123.75,7623410,64.3,35.7,60,40,50,12.32,51.24,19.9,48.92,-7.59,80,68.69,30,10,0,45,70,1093.84,979.24,0,0,19.17,           ,           ,0,           ,7623410,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,19.17,           ,           ,0,           ,7623410,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,19.79,11.59,19.17,           ,0,0,0,30,40,50,70,80,7623410,8403786,9047798
 2004/02/17,1127.1,1132.71,1121.28,1123.62,8815897,65.05,34.95,60,40,50,12.4,60,16.15,50.62,-3.75,80,68.69,30,10,0,45,70,1082.6,968,0,0,17.01,           ,           ,0,           ,8815897,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,17.01,           ,           ,0,           ,8815897,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,17.89,10.84,17.01,           ,0,0,0,30,40,50,70,80,8815897,8434409,9088277
 2004/02/18,1123.7,1136.53,1119.63,1129.28,8093711,61.85,38.15,60,40,50,8.58,70.63,12.37,54.11,-3.78,80,68.69,30,10,0,45,70,1077.05,962.45,0,0,15.72,           ,           ,0,           ,8093711,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,15.72,           ,           ,0,           ,8093711,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,16.85,10.24,15.72,           ,0,0,0,30,40,50,70,80,8093711,8203887,8844149
 2004/02/19,1130.4,1138.08,1119.67,1122.38,7130805,62.45,37.55,60,40,50,13.24,75.24,12.8,54.31,0.43,80,68.69,30,10,0,45,70,1071.45,956.85,0,0,15.75,           ,           ,0,           ,7130805,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,15.75,           ,           ,0,           ,7130805,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,16.57,10.58,15.75,           ,0,0,0,30,40,50,70,80,7130805,7713729,8579798
 2004/02/20,1122.93,1125.37,1112.94,1124.66,5988759,60,40,60,40,50,11.7,78.45,12.25,55.32,-0.55,80,68.69,30,10,0,45,70,1072.09,957.49,0,0,16.07,           ,           ,0,           ,5988759,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,16.07,           ,           ,0,           ,5988759,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,16.06,10.83,16.07,           ,0,0,0,30,40,50,70,80,5988759,7530516.5,8064640.5
 2004/02/23,1126.23,1129.52,1092.01,1093.14,8802509,61.34,38.66,60,40,50,32.98,62.89,22.62,44.4,10.37,80,68.69,30,10,0,45,70,1071.27,956.67,0,0,22.39,           ,           ,0,           ,8802509,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,0,68.69,           ,0,0,0,30,40,50,70,80,0,22.39,           ,           ,0,           ,8802509,           ,           ,           ,40,0,0,0,0,0,0,0,0,0,0,68.69,           ,21.44,13.55,22.39,           ,0,0,0,30,40,50,70,80,8802509,7766336,8085061
